"Field 1","Field 2","Field 3","Entity","Value"
"authorship","NA","NA","rmmName","Zamia prasina for Workflow Project"
"authorship","NA","NA","names","Owens, Hannah L."
"authorship","NA","NA","license","CC"
"authorship","NA","NA","contact","Hannah L. Owens, hannah.owens@sund.ku.dk"
"authorship","NA","NA","relatedReferences","None"
"authorship","NA","NA","authorNotes","None"
"authorship","NA","NA","miscNotes","For Adam Smith workflows project"
"authorship","NA","NA","doi","None"
"studyObjective","NA","NA","purpose","prediction; projection"
"studyObjective","NA","NA","rangeType","potential"
"studyObjective","NA","NA","invasion","native"
"studyObjective","NA","NA","transfer","other"
"data","occurrence","NA","taxon","Zamia prasina W.Bull"
"data","occurrence","NA","dataType","presence only"
"data","occurrence","NA","yearMin","1971"
"data","occurrence","NA","yearMax","2024"
