"Field 1","Field 2","Field 3","Entity","Value"
"authorship","NA","NA","rmmName","Prionailurus bengalensis for Workflow Project"
"authorship","NA","NA","names","Owens, Hannah L."
"authorship","NA","NA","license","CC"
"authorship","NA","NA","contact","Hannah L. Owens, hannah.owens@sund.ku.dk"
"authorship","NA","NA","relatedReferences","None"
"authorship","NA","NA","authorNotes","None"
"authorship","NA","NA","miscNotes","For Adam Smith workflows project"
"authorship","NA","NA","doi","None"
"studyObjective","NA","NA","purpose","prediction; projection"
"studyObjective","NA","NA","rangeType","potential"
"studyObjective","NA","NA","invasion","native"
"studyObjective","NA","NA","transfer","other"
"data","occurrence","NA","taxon","Prionailurus bengalensis (Kerr, 1792)"
"data","occurrence","NA","dataType","presence only"
"data","occurrence","NA","yearMin","1973"
"data","occurrence","NA","yearMax","2024"
"data","occurrence","NA","sources","Bentley A, Eifler M (2024). KUBI Mammalogy Collection. Version 26.77. University of Kansas Biodiversity Institute. https://doi.org/10.15468/a3woj7.; California Academy of Sciences: CAS Mammalogy (MAM) https://doi.org/10.15468/dhbozg.; Conservation International. Rapid Assessment Program (RAP) Biodiversity Survey Database. https://doi.org/10.15468/tsrjm0.; European Bioinformatics Institute (EMBL-EBI), GBIF Helpdesk (2024). INSDC Sequences. Version 1.93. European Nucleotide Archive (EMBL-EBI). https://doi.org/10.15468/sbmztx.; Garner H (2016). TTU Mammals Collection. Version 9.1. Natural Science Research Laboratory, Museum of Texas Tech University (TTU). https://doi.org/10.15468/yocqyp.; Grant S, Webbink K, Jones J, Ferguson A (2020). Field Museum of Natural History (Zoology) Mammal Collection. Version 9.18. Field Museum. https://doi.org/10.15468/n4zgxw.; Grant S, Webbink K, Jones J, Kachian Z, Thompson M, Suwa T, Pitman N (2024). Field Museum of Natural History (Action) Mammals Sightings. Version 1.6. Field Museum. https://doi.org/10.5962/bhl.title.96897.; Griffin O, Suzuki A, Willard C, Ommanney K, Mahood S (2021). WCS Cambodia camera trap occurrence data. Version 1.15. WCS Cambodia. https://doi.org/10.15468/tjl4lg.; Harvard University M, Morris P J (2024). Museum of Comparative Zoology, Harvard University. Version 162.435. Museum of Comparative Zoology, Harvard University. https://doi.org/10.15468/p5rupv.; Imron M A, Rachmawati F D, Pitaloka K D, Hastomo Putri T D, Lestari E W (2023). Biodiversity of Kalimantan, Indonesia. Version 1.4. Wildlife Laboratory, Faculty of Forestry, Universitas Gadjah Mada. Checklist dataset https://doi.org/10.15468/ys6e4b.; iNaturalist contributors, iNaturalist (2024). iNaturalist Research-grade Observations. iNaturalist.org. https://doi.org/10.15468/ab3s5x.; India Biodiversity Portal. India Biodiversity Portal publication grade dataset. https://doi.org/10.15468/rs5upd.; info (2023). 2021_kbif_joint_survey_mammal_observation_information_NSMK_84. National Science Museum of Korea. https://doi.org/10.15468/yvbf5b.; info, Song H (2024). 2023_deoksan_mammal_observation_information_nsmk_47. National Science Museum of Korea. https://doi.org/10.15468/kkxs2j.; Kamminga P, Creuwels J (2024). Naturalis Biodiversity Center (NL) - Mammalia. Naturalis Biodiversity Center. https://doi.org/10.15468/d7gugd.; Kim H, info (2022). 2021_nsmk_biodiversity_observations_mm_1218. Version 1.1. National Science Museum of Korea. https://doi.org/10.15468/ud6ams.; Lin T (2024). The Taiwan Roadkill Observation Network Data Set.. Version 1.9. Taiwan Biodiversity Research Institute. https://doi.org/10.15468/cidkqi.; Luskin M, Thapa A, Mendes C (2023). Sharing vertebrate occurrence data from camera traps in Asia. Version 1.9. Small Mammals Conservation and Research Foundation. https://doi.org/10.15468/r84kt7.; Mertz W, Ludt W, Clardy T, Robson S, Suh Y H, Camacho N (2024). LACM Vertebrate Collection. Version 18.15. Natural History Museum of Los Angeles County. https://doi.org/10.15468/77rmwd.; Millen B, Lim B (2018). Mammalogy Collection - Royal Ontario Museum. Version 11.5. Royal Ontario Museum. https://doi.org/10.15468/2rlrvh.; MnhnL, Braun P (2024). Palaeontological collections National Museum of Natural History Luxembourg. Version 1.76. National Museum of Natural History, Luxembourg. https://doi.org/10.15468/vbuvyu.; National Biodiversity Centre. Bhutan Biodiversity Portal data. https://doi.org/10.15468/wqcp7j.; National Science Museum of Korea (2022). 2019_nsmk_mm_20200324. Version 1.5. https://doi.org/10.15468/sdmsic.; National Science Museum of Korea (2022). 2020_biodiversity_information_observation. Version 1.3. https://doi.org/10.15468/kkw6cy.; National Science Museum of Korea (2022). 2020_biodiversity_new_contents. Version 1.4. https://doi.org/10.15468/6qs9p2.; National Science Museum of Korea (2022). nsmk_mm_2019. Version 1.3. https://doi.org/10.15468/z9nvcv.; National Science Museum of Korea (2023). 2019_nsmk_biodiversity_observations_mm_1000. Version 1.2. https://doi.org/10.15468/zksz5k.; National Science Museum of Korea (2023). 2022_nsmk_biodiversity_observations_mm_557. Version 1.1. https://doi.org/10.15468/dquza3.; naturgucker.de. naturgucker. https://doi.org/10.15468/uc1apo.; Observation.org (2024). Observation.org, Nature data from around the World. https://doi.org/10.15468/5nilie.; Orrell T, Informatics Office (2024). NMNH Extant Specimen Records (USNM, US). Version 1.83. National Museum of Natural History, Smithsonian Institution. https://doi.org/10.15468/hnhrg3.; Pauwels O, Samyn Y, Vandenberghe T (2021). RBINS DaRWIN. Royal Belgian Institute of Natural Sciences. https://doi.org/10.15468/qxy4mc.; Pauwels O, Vandenberghe T, Cooleman S, Theeten F (2024). RBINS Mammal collection. Version 1.12. Royal Belgian Institute of Natural Sciences. https://doi.org/10.15468/hsh877.; Raman T R S, Mudappa D (2022). Mammal occurrence in Valparai Plateau and Anamalai Tiger Reserve, Tamil Nadu, India (2015-18). Version 1.1. Nature Conservation Foundation. https://doi.org/10.15468/9cs5sz.; Reed D, Mathis V, Paine W (2024). UF Florida Museum of Natural History Mammals. Florida Museum of Natural History. https://doi.org/10.15468/kccunf.; Shugart G (2023). PSM Vertebrates Collection. Version 8.4. Puget Sound Museum of Natural History. https://doi.org/10.15468/3oaz5o.; Trombone T (2016). AMNH Mammal Collections. American Museum of Natural History. https://doi.org/10.15468/wu3poe.; UMMZ Mammals Data Group, LSA IT A (2024). University of Michigan Museum of Zoology, Division of Mammals. Version 8.75. University of Michigan Museum of Zoology. https://doi.org/10.15468/dx3rcj.; Viter S (2023). Some finds of birds, mammals, insects, amphibians and reptiles in February 2018 in Assam, West Bengal, Bihar, Delhi and Uttar Pradesh (India). Version 1.6. Ukrainian Nature Conservation Group (NGO). https://doi.org/10.15468/9wshux.; Wang S (2023). Investigation Current Status of River in Taiwan between 2002 to 2020. Version 1.7. Water Resources Agency,Ministry of Economic Affairs. https://doi.org/10.15468/ynvqag."
"data","occurrence","NA","spatialAccuracy","Approximately 5000m uncertainty, maximum"
"data","environment","NA","variableNames","wc2.1_2.5m_bio_1; wc2.1_2.5m_bio_2; wc2.1_2.5m_bio_12; wc2.1_2.5m_bio_5; wc2.1_2.5m_bio_6; wc2.1_2.5m_bio_14"
"data","environment","NA","yearMin","1970"
"data","environment","NA","yearMax","2000"
"data","environment","NA","extentSet","xmin: 60; xmax: 180; ymin: -20; ymax: 60"
"data","environment","NA","extentRule","Dynamic alpha hull fit around 100% of points, two parts required (rangeBuilder::getDynamicAlphaHull()), buffered by 250km, unoccupied islands removed."
"data","environment","NA","resolution","0.0416666666666667; 0.0416666666666667"
"data","environment","NA","projection","Unprojected. Coordinate reference system: WGS 84 (EPSG: 4326)"
"data","environment","NA","sources","@article{https://doi.org/10.1002/joc.5086,
  author = {Fick, Stephen E. and Hijmans, Robert J.},
  title = {WorldClim 2: new 1-km spatial resolution climate surfaces for global land areas},
  journal = {International Journal of Climatology},
  volume = {37},
  number = {12},
  pages = {4302-4315},
  doi = {https://doi.org/10.1002/joc.5086},
  url = {https://rmets.onlinelibrary.wiley.com/doi/abs/10.1002/joc.5086},
  year = {2017}
}"
"data","transfer","environment1","resolution","0.0416666666666667; 0.0416666666666667"
"data","transfer","environment1","extentSet","xmin: 68.7916666666666; xmax: 140.5; ymin: 1.33333333333335; ymax: 52.4583333333333"
"data","transfer","environment2","resolution","0.0416666666666667; 0.0416666666666667"
"data","transfer","environment2","extentSet","xmin: 68.7916666666666; xmax: 140.5; ymin: 1.33333333333335; ymax: 52.4583333333333"
"dataPrep","NA","NA","dataPrepNotes","Additional prep: removed occurrences with uncertainty greater than 5km (approximate resolution of environmental data; removed occurrences before 1970; removed occurrences within range of recently split sister species, Prionailurus javanensis (Indonesia, Phillippines, non-peninsular Malaysia)"
"dataPrep","geographic","geographicalOutlierRemoval","rule","Remove if minimum distance to all other points is greater than 5 times interquantile range"
"dataPrep","geographic","geographicalOutlierRemoval","notes","Default settings in coordinateCleaner::cleaned_coordinates()"
"dataPrep","geographic","centroidRemoval","rule","Remove if <1000m from country centroid"
"dataPrep","geographic","centroidRemoval","notes","Default settings in coordinateCleaner::cleaned_coordinates()"
"dataPrep","geographic","spatialThin","rule","Downsampled to a minimum distance of 50km to account for putative sampling bias in some regions (e.g. South Korea)."
"dataPrep","geographic","spatialThin","notes","Used spThin::thin()."
"dataPrep","biological","questionablePointRemoval","rule","latitude or longitude exactly 0; latitude or longitude an integer; latitude and longitude equal"
"dataPrep","biological","questionablePointRemoval","notes","Default settings in coordinateCleaner::cleaned_coordinates()"
"model","NA","NA","algorithmCitation","@Manual{,;   title = {maxnet: Fitting 'Maxent' Species Distribution Models with 'glmnet'},;   author = {Steven Phillips},;   year = {2021},;   note = {R package version 0.1.4},;   url = {https://CRAN.R-project.org/package=maxnet},; }"
"model","NA","NA","speciesCount","1"
"model","NA","NA","selectionRules","Successive filtering: delta AIC less then 2, models with AUC training scores at least 75% of maximum AUC training score, remaining model with the lowest AUCdiff"
"model","NA","NA","finalModelSettings","Feature classes:  LQ ; Regularization multiplier:  1"
"model","partition","NA","partitionRule","Spatial blocks defined by k means clustering, k = 4."
"model","NA","NA","references","@article{https://doi.org/10.1111/2041-210X.13628,
  author = {Kass, Jamie M. and Muscarella, Robert and Galante, Peter J. and Bohl, Corentin L. and Pinilla-Buitrago, Gonzalo E. and Boria, Robert A. and Soley-Guardia, Mariano and Anderson, Robert P.},
  title = {ENMeval 2.0: Redesigned for customizable and reproducible modeling of species’ niches and distributions},
  journal = {Methods in Ecology and Evolution},
  volume = {12},
  number = {9},
  pages = {1602-1608},
  doi = {https://doi.org/10.1111/2041-210X.13628},
  url = {https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.13628},
  eprint = {https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/2041-210X.13628},
  year = {2021}
}"
"model","NA","NA","algorithm","maxnet"
"prediction","NA","NA","extrapolation","extrapolate function"
"prediction","transfer","NA","notes","Climate model: HadGEM3-GC31-LL; mid-century: 2041-2060; late century: 2061-2080)"
"prediction","transfer","NA","extrapolation","other"
"prediction","uncertainty","NA","notes","Areas identified as extrapolative (according to ENMeval::similarity()) were removed from future projections."
"prediction","uncertainty","NA","extrapolation","I used MESS (multivariate environmental similarity surface) maps to quantify environmental novelty in the transfer data and mask out any regions with MESS scores less than 0."
"assessment","NA","NA","notes","After examining response curves of preliminary plots, some environmental variables were removed due to lack of informativeness (i.e. they were nearly horizontal); statistics reported are for final model, AIC score reported is actually delta AICc."
"assessment","trainingDataStats","NA","AUC","0.797378181818182"
"assessment","trainingDataStats","NA","AIC","0.134877873102408"
"assessment","testingDataStats","NA","AUCDiff","0.134877873102408"
"code","software","NA","platform","R"
