"section","subsection","element","Value"
"Overview","Authorship","Study title","Prionailurus bengalensis for Workflow Project"
"Overview","Authorship","Author names","Hannah L. Owens"
"Overview","Authorship","Contact ","hannah.owens@sund.ku.dk"
"Overview","Authorship","Study link","https://github.com/hannahlowens/ENMworkflows2024"
"Overview","Model objective","Model objective","Forecast and transfer"
"Overview","Model objective","Target output","continuous habitat suitability index"
"Overview","Focal Taxon","Focal Taxon","Prionailurus bengalensis (Kerr, 1792)"
"Overview","Location","Location","South Asia"
"Overview","Scale of Analysis","Spatial extent","68, 140, 20, 60 (xmin, xmax, ymin, ymax)"
"Overview","Scale of Analysis","Spatial resolution","5"
"Overview","Scale of Analysis","Temporal extent","1970 to 2100"
"Overview","Scale of Analysis","Temporal resolution","~ 30 years"
"Overview","Scale of Analysis","Boundary","natural"
"Overview","Biodiversity data","Observation type","citizen science; field survey"
"Overview","Biodiversity data","Response data type","presence only"
"Overview","Predictors","Predictor types","climatic"
"Overview","Hypotheses","Hypotheses","Environment correlated with occurrence"
"Overview","Assumptions","Model assumptions","All areas of training region accessible, not limited by biotic interactions, able to colonize future suitable conditions"
"Overview","Algorithms","Modelling techniques","maxnet"
"Overview","Algorithms","Model complexity","Best fit to data"
"Overview","Algorithms","Model averaging","No"
"Overview","Workflow","Model workflow","Download and clean occurrence data, generate training region from occurrences, clip predictors to training region, train model using ENMeval, project best-fit model to future conditions at mid-century and late-century"
"Overview","Software","Software","Mac M2 silicon; OS Sonoma 14.5; R version 4.3.2; Packages: rangeModelMetadata, occCite, terra, rangeBuilder, geodata, CoordinateCleaner, voluModel, spThin, ENMeval, dplyr"
"Overview","Software","Code availability","https://github.com/hannahlowens/ENMworkflows2024/blob/main/Prionailurus.R"
"Overview","Software","Data availability","Public; downloaded via provided code"
"Data","Biodiversity data","Taxon names","Prionailurus bengalensis (Kerr, 1792)"
"Data","Biodiversity data","Taxonomic reference system","Best match to GBIF taxonomy"
"Data","Biodiversity data","Ecological level","individuals"
